,text,Type
37,you must watch this film or you will die. i have watched it a infinity times it is the best. if you don't watch it Isis will come and kill you. dory is my best friend so if you be horrible you will die. finding dory! you must watch this film or you will die. i have watched it a infinity times it is the best. if you don't watch it Isis will come and kill you. dory is my best friend so if you be horrible you will die. finding dory! you must watch this film or you will die. i have watched it a infinity times it is the best. if you don't watch it Isis will come and kill you. dory is my best friend so if you be horrible you will die. finding dory! you must watch this film or you will die. i have watched it a infinity times it is the best. if you don't watch it Isis will come and kill you. dory is my best friend so if you be horrible you will die. finding dory!,positive
38,"Finding Nemo is the compelling story of a fish taken by divers, and his dad searches the entire ocean looking for his son. This movie it great for all ages. A 4 years old and an 84 year old will be entertained by he touching story of this movie. It is here kids learn it is okay to accept help, the ones who truly love you will never give up on you, and just keep swimming, no matter what never give up. I give this movie two thumbs up and would recommend it to anybody. This movie is a Disney classic. I have nothing bad to say about it. The animation is astounding for the time the movie came out. As a result of this movie kids all over the world go to aquariums looking to find Nemo and Dory. Maybe they will find a 100 year old sea turtle as well. This movie is not only entertaining but education as well. This move is unforgettable.",positive
39,"Pixar's animation wonder Finding Nemo, is a shimmery, velvety undersea coming-of-age story which is aglow with translucent sea flora and gleaming, iridescent creatures. Australia's Great Barrier Reef provides a stunning starting point for this aquatic parable. Nemo (Alexander Gould) is a spunky little clown-fish with a slight disability - a foreshortened front fin. Nemo's single father, Marlin (Albert Brooks) is a dry, wry clown-fish with an excess of anxiety (He is also a clown who can't tell a joke, though he keeps trying to do so quite hilariously). Despite Marlin's suffocating attention, his small fry is scooped up by a scuba diving dentist and gets separated from his father. Determined not to lose his son, Marlin begins a long, arduous albeit seemingly hopeless rescue mission across the sea and soon bumps into an overly exuberant, sweetly scatterbrained regal blue tang named Dory (Ellen DeGeneres). They search for Nemo together in the face of stinging jellyfish, exploding mines, noxious sharks and other irritable flounders. In the meantime, Nemo makes some very good friends in the dentist's aquarium, including a tiger fish (Willem Dafoe) who helps him plan an escape. From then on, it's a relentless journey of visual excitement and wonder, as the distraught father sets off to rescue his offspring and Nemo finds ways to escape from the aquarium. As is mandatory for a family film, there are plenty of life lessons for kids to learn, but they come sugar-coated with humor and fun. Meanwhile, a more adult undercurrent offers grown-up laughs, and there's even some old-fashioned tear-jerking to complete the emotional roller-coaster ride.Andrew Stanton plays the viewer like a fiddle, and it's a privilege to be played. Its animation is truly stunning, awash (pun intended) in a dazzling array of colors and creating the impression of a living, breathing sea. Every moment is magnificently orchestrated to tease a response from us - anything from awe to aw-shucks. Yes, it's a visual feast, but more importantly it's an epic journey filled with adventure and discovery that encompasses the grandest sweep of the ocean's vastness and the tiniest longing of the heart. While preserving the characters' intrinsic ""fishy-ness"", the silver- tongued voice cast offers great supplementary texture to a marvelous sensory experience. While Brooks is amusing as the ever fretful Marlin, it is DeGeneres who gives a bravura comic performance as the guileless but whacked-out Dory. Ceaselessly forgetful, her endearing Dory makes a difficult traveling companion but a scintillating friend â€“ Dory is a complete hoot.Instead of rising to a challenge, Finding Nemo plunges into it and comes up a winner. All in all, a buoyant adventure that manages to evoke the quicksilver trait of the ocean without necessarily feeling 'wet'!",positive
40,"It's so fun and enjoyable and greatly written with an excellent story line. The actors were superb, we felt a mix of emotions through the viewing. Definitely a movie for all ages. We can tell that the producers of this film worked hard to bring to life the under water world in such an engaging and comedic way, and the quality of animation, captivating bright colours and suited cinematography, as expected was fantastic which we felt also aided the entire viewer experience. With each character's unique personality being perfectly distinguished in a clever way highlighted much creativity and places this particular movie at the top of the our list of awesomely produced animated films. If you haven't seen this film we encourage you to do so and be prepared for an experience and be taken into another world. Do watch and thoroughly enjoy! A great ""must see""!",positive
41,"This must be the best kids movie of all time.Funny and heart-warming, it'll leave you feeling all warm and fuzzy inside. Beautifully made. Expertly animated. Very well written Superbly acted. I have seen this several times and notice new stuff every time. Ellen DeGeneres is fabulous. Far superior to the likes of Shark Tale. Ten lines is a lot to expect in a review about a film, you don't think that ten lines is an awful lot until you start to write a review for a film and then you actually realise that ten lines is actually a lot of lines to write and repeat yourself. I have tried not to repeat myself but not really very hard. Perhaps if I was to try harder not to repeat myself then the task of not repeating would be easier but as the situation stands at the moment, I fear that I might be repeating myself, perhaps I could go swimming in the sea or in a swimming pool or a lake or loch or a big puddle.",positive
42,"I have to admit it... I am hooked on animations. Did you get it? :)OK. This is another proof that animations are for all ages and if the story is good and it has a moral that relates to all of us, it's a success.Really well done. Great voice acting. Fluid animation and cute characters that are alive.Loved it! Watched it several times... and every time you discover something new...Try to catch the pelican saying ""nice"" with an Australian accent and flying way... did you get the reason? Hilarious. Smooth humour.All together: Beautiful!",positive
43,"There are some very fun and great characters which brings me to the only problem I have with this movie. There are too many minor characters, I would have really loved to see some of the characters getting a bigger role with some more importance to the story instead of meeting character after character that are only on screen for no more than 5 minutes (such as the sharks). Sure it's good for the sense of adventure but it leaves some missed opportunities to make the story even more fun.I think it's pretty obvious that the story is inspired on the ""Lord of the Rings"" trilogy since it uses lot's of elements from it and it has the some feeling of adventure and excitement so it's really not a big thing that the story isn't very original, the original and fun way the story is told in compensates for this.The voice cast as in many animated movies is impressive but the one that stood out was Ellen DeGeneres as Dory that you love to hate.Irresistible movie for the whole family with great jokes and lines and some memorable characters and situations.",positive
44,"This is one of my favorite Pixar movies! I could sit and watch this movie all day. It's one of those movies that will never get old. To this day, I still cry when Nemo's mom dies. I find this movie to be not only family-friendly, but age appropriate. Anybody of any age can sit down and watch this movie. The variety of ocean life that they use is great for young children because it teaches them what animals live in the ocean. It's one of those movies that's perfect for family movie night or just simply at a sleepover. When I was in high school, my government teacher gave us a movie day and this was the movie of choice. Everybody in the class was so excited and nobody complained. I highly recommend this movie, especially with younger children. You're never too old or too young to watch Nemo.",positive
45,"A breath-taking movie. Pixar had created a wonderful world through animation. A real treat for our eyes. Great story. Great comedy. Great action. Great adventure. Great world. Great characters. Great ride. My favorite, the fish Dora.It's about a father fish trying to get back his son fish who had been kidnapped by humans to Sydney. He travels all over the ocean to get his son back no matter what it cost him. An amazing movie about a father's love for his son.All praise goes to the creators. They have done an amazing job. Capital ""A""mazing. The animation water-world and fishes looks so realistic in nature. One of major plus point for Pixar Studios. They are real artist. Their hard work had really paid off.It's no surprise for this movie to be awarded the Best animated movie of the year.",positive
46,"I've seen this movie at least twice, parts of it four or five times...the humor resonates on all levels (not just age levels, but visual versus audio, double indentures. etc, and reflects realities of modern industrial family and existential experience; it's a simple but great story line (although, much of the entertainment is in a series of vignettes; characters you (well, sort of) care about; spectacular animation. The casting of actors doing the voices is about as good as it gets. One of the amazing things for me in watching this movie a second and third time was the subtleties in the facial expressions and these animated characters. I highly recommend this movie - even for people (such as myself) who don't normally care for animated films.",positive
47,"possibly the second best animated movie of all time (first being Aladdin) and it is definitely the funniest!! the story was great, and the jokes are unforgettable. props to whoever played dory, because that was the FUNNIEST talking fish i have ever seen in my life. the fish in tanks were cute, and the turtles were cool. i liked the sharks, and the way nemo's name was constantly mispronounced (fabio, etc.) i wouldn't necessarily recommend it for really little kids, as it was a little sad. but overall, i absolutely loved it. i hope they come up with some sort of sequel that doesn't absolutely ruin it, but even if they don't , it's still an absolutely awesome movie.",positive
48,"Pixar Studios is one of the world's most exciting and cool film studios. They deliver every single time for the whole family; fun, dramatic, brilliance, entertainment, moral...everything! Before this instalment Pixar has given us TOY STORY 1/2, A BUG'S LIFE and MONSTERS INC. that's all extremely good films! This, last one, FINDING NEMO is just as jolly good!
We follow Marlin, a clown-fish that's on a desperat look for his only child, Nemo, that as said before is the only survivor after their family was brutally attacked by a barracuda and almost everybody were eaten. Marlin hooks up with another fish that shows herself to have extremely bad memory and forgets thing almost before she's get to know them! Now, these two goes on the search of Nemo, who's lost in the big blue ocean, where there are sharks, bombs, whales, birds and much more!The story is this time probably the best detail, off course together with the humour that is also brilliant fun! It is packed with funny scenes and the animation is getting more and more stunning, the dialogs are brilliant, everything works as good as it gets! Dozens of genius characters are packed into this story. It is a very choosy movie and it keeps up it's entertainment in a very fine way, the only thing that's something to put anything on is the end, that's really nothing. But the rest of the movie is pure entertainment and is very, very nice watching! FINDING NEMO's got entire scenes. Like the one with the three sharks that has decided to form a club where they have to promise that they shall not eat other fishes, cause that's cannibalism. Either it's small characters or big, they're all over the place! You laugh a lot, and if it isn't funny, it's just so entertaining or nice made that you can't keep your eyes off the screen. As the movie goes by you feel a small piece of boring in the middle, but FINDING NEMO fixes it with smacking some more characters and keeping the tempo up and keeping the paralell - story interesting with Nemo actually being caught in a aquarium together with other fishes.STARS: 5/5",positive
49,"Just saw Finding Nemo this morning (Satyam Cineplex, Chennai, India) one word to comment - 'breathtaking CG work' the entire voice talent team has done a gr8 job too!The colorful coral of the Marlins, the forgetful Dory, the 'Fish are our friends, not Food' Sharks, the mighty Whale, 150 yrs old. Crush - the Turtle and its kiddies in the EAC, the tank and Nemos' Mates at the Dentist's place, they are all too good!!Toy Story, Antz, Shrek ...and now Finding Nemo! lol forgot Darla at the Dentist.. Guess the CG supervisor visualised his worst girl friend at School.. haha.",positive
50,"It's the best animated film after 'Ice Age'!I've watched it more than 10 times!O.K. I'm exaggerating but It's really great and I think everybody will like it.All the characters are very funny,even the ""bad guys"" are kind of nice.My personal favourites are the sharks!They were so funny! So,everybody watch this film,you're gonna love it!!!",positive
51,"Finding Nemo has it all...fantastic animation, great story, hilarious comedy, and wonderful voice acting. Ellen, I wish the Academy would create a Best Voice Acting Category and give you the first award. Your work as Dory stole the show.This is one of the few movies I can pull out and watch at any time. Pixar has not won Best Animated Feature yet, and of their body of films, this is the perfect picture to give them their first.",positive
52,"This is a great movie, and i don't see how anyone can say differently. Pixar has once again made magic using cg. I swear sometimes it is hard to see the difference between computer animations and real film. I find that especially the ocean is masterfully done. If you haven't already seen this movie, go see it now!",positive
53,"`Finding Nemo' is one of the best, perhaps THE best, animated films ever made آ– in a class with the Disney masterpieces, `Snow White and the Seven Dwarfs,' `Pinocchio,' and `Bambi.'  It is gorgeous to look at, exciting, funny آ– often very funny آ– and moving. `Finding Nemo' is a great film, 10 out of 10.",positive
54,"Yeah, like what the title of the comment says... I just like the movie just a little bit less than Shrek (who can forget: CAN'T WE SETTLE THIS OVER A PINT?) but I laughed more than during the times I watched Shrek. It's -to my honest opinion- a lot funnier than Ice Age. And the story is beautifully realized, without overdoing it, like Disney sometimes does.
And eeeeeeuuuuuuh... I SPEAK WHALE!!!",positive
55,"This is truly the best animated film ever. It is pure Disney magic. In my opinion it was the best film of the summer of 2003. It also has to be the funniest Disney movie ever made. I hope there is a sequel to this. The only problem is what they are going to call it. They'll have to call it something else unless they're finding Nemo again. Anyway, getting back to this movie, I thought that the absent-minded fish Dori was the funniest character. I also thought those Seagulls that always said ""Mine"" was funny. For some reason when I first saw the movie I thought those Gulls were saying ""Mike"". Then I realized that they couldn't say ""Mike"" because it wouldn't make sense. 10/10. I always love it when Disney and Pixar work together.",positive
56,"I think its very funny that you people who are insulting Finding Nemo are insulting a G rated, kids movie. Finding Nemo is a very sweet movie and its really cute. I have many younger cousins who are 2 all the way to 12 who really enjoyed this movie and talk about it all the time. So I think its hilarious that adults are coming on this board and ragging on the movie about how stupid it is. And yes, I am aware that G means general audience but G usually means its great for kids. But, yes, everyone is entitled to their own opinion. Think about how its for younger audiences before you go on about insulting it. Well I'm going to watch it with my 10 year old brother. Bye!",positive
57,"This is a fantastic film no matter how old you are. The storyline is good and the graphics are amazing. I am a big fan of Disney and Pixar, but this film, compared to Toy Story and Shrek, is so much better. It's a great family film that will have you upset, excited but most of all it will have you laughing so much all the way through! The best character has got to be Dory because she is just hilarious!",positive
58,"Quite why I haven't commented on this before is beyond me, but still, here I amPut simply, Finding Nemo is a brilliant film with funny and endearing characters that are a joy to watch. Pixar have again pushed the boundaries of computer animation to bring us a realistic yet still cartoonish film that will appeal to anyone from 3 to 103. I'm sure most people's favourite bit was the whale speak by Dory, which had me in stitches. However other little incidents in the film really made me laugh so much. When the little baby fish falls off the sponge bed is so typical of how children react when they hurt themselves. The animators and writers at Pixar really know how to capture the way people react to situations. All the little facial expressions throughout the film are beautifully animated.The water effects must have been tremendously difficult to achieve, but they are fantastic. The lighting changes that were required really help set the mood of a scene, even when Marlin and Dory were inside the whale. The story although basic was successfully pulled off with no dip in any of the action. The story kept going when it shifted between Marlin's desperate attempt to locate his son, and Nemo's dispair of being alone with no one to look after him except the new collection of strange friends in the dentist fish tank.
Overall I give it 10/10 because it was great. I can't wait for The Incredibles next year, I'm sure it will be just as good.",positive
59,"A spectacle in every way, this film is guaranteed to delight viewers of all ages. An instant classic, and an example of cinema at its most spellbinding. The animation is cutting edge, the jokes fly thick and fast, there's not too much maudlin sentiment to weigh one down, and the musical score is among the best I've heard in recent years. Flawless!",positive
60,"Pixar has done it again, it seems that whenever Pixar and Disney come out with a movie it is always a tremendous success, and Finding Nemo is no exception. This is the best Pixar film yet and it will be tough to beat. The visual effects are amazing; everything in this Pixar ocean looks so real, from the sand to the sunlight hitting the water. You almost feel like you're underwater and it's hard to imagine that this is animation is not real. The voice work just adds to the animation and makes the movie that much better. Hands down, Ellen DeGeneres is the best in this movie; her voice work as Dory is just hilarious. Every scene that Dory is in I couldn't help but laugh, and with help from the script, the film has some of the funniest scenes in a children's movie. This movie is perfect for kids as it will amuse and entertain them or whoever else may be watching with them. The animation literally comes alive, the humor is everywhere and this all makes Finding Nemo a movie that is extremely enjoyable to watch.",positive
61,"With Finding Nemo (which has just been released in cinema's today here in the Netherlands) Pixar once again delivers a true masterpiece, easily the best of their films so far, and maybe even the best animation I've seen (and that long list includes Shrek and The Lion King).All one hopes for is provided: stunning images, lovely music (by Thomas Newman, always a firm favourite), a great story with humour, humanity and warmth, great voice performances... Simply perfect.When the words ""The End"" appeared, the entire cinema was sorry (sighs all around) - that says enough now doesn't it... :-)If you're not one of those ""I only like it when it's noisy and violent"" kind of persons, you'll probably love this film over and over again. Be sure to watch the entire ending titles too as there are some little surprises in it... right until the end.",positive
62,"I bought this movie on a Vcd when i went on a holiday to Singapore in 2004.Everything about this is fantastic..Photography is amazing.Colors are amazing.Characters are great.Dialogs are wonderful.Story is great.It tells about 2 fishes Marlin and his child Nemo.One day Nemo is taken away.Marlin meets Dory.They go to help to find him.They go to a doctors clinic and see Nemo he is being sent away to a little girl who is destructive.But in the they save Nemo.The acting is brilliant from the characters.Casting was perfect.Voices were great.i know some hated this by calling it a lot of harsh words like Pathetic,Terrible,Waste etc.Forget them this is an awesome movie",positive
63,"Finding Nemo is honestly one of the few films I count as perfect. From the absolutely stunning animation, a beautiful story, breathe-taking visuals, and some memorable characters (protagonists and side characters alike), this film is just top notch. Watching this as an adult (I watched this so much as a kid) it still holds up extremely well and it's charm still shines bright. Some of Pixar's best work.",positive
64,"4 Stars: With a sense of imagination that only a child could have, Pixar has finally struck gold. En route to becoming the highest grossing animated movie in history, and deservedly so, Finding Nemo is a real gem for both kids and their parents. Its first move in the right direction is setting the picture underwater. Amid a previously unseen and pleasantly quirky world of spaced-out sea turtles and 12-step program sharks, the movie presents a heartwarming story about a father's search for his son. Add in witty dialogue and extroadinary performances by both Ellen DeGeneres and Albert Brooks and you got a movie that's too good to miss.",positive
65,"As a kid born in 1998, Finding Nemo was one of the first movies I ever saw in theaters. I know it's not the first, but I cannot remember one prior.Finding Nemo made me fall in love with cinema. I watched it as a small kid, watched it several times since and it still manages to make me feel exactly what it set out to make me feel.To me, this movie is not only a perfectly well written example of what an animated film should be like, it's a masterclass in storytelling, engaging audiences through plots and subplots, perfectly tied by humor, voice acting and and computer animation, which still stands to date (2024).Finding Nemo is a MUST WATCH for every family wanting their kids to find love for filmography.",positive
66,"I'm 27 years old and I have a 9 year old daughter.  For some strange reason, she didn't want to see Finding Nemo when it came to the theaters, so i said cool, i'll just buy the dvd when it comes out.....big mistake.  I should have listened to my daughter. She hated it along with my 2 nieces, ages 3 & 4, and my nephew, age 5.  The animation was beautiful but the story was.....well.....just BORING.  About 30 minutes into the movie, they were ready to watch something else and frankly, so was I.",negative
67,"Honestly, I do not understand why so many people love this movie. I can normally watch a disney movie and enjoy myself, but this one simply did not entertain me. First of all, I noticed in Finding Nemo was that there were not any songs. most disney movies have parts where the charectors break into song, not in Finding Nemo. Secondly, I found some of the charectors quite annoying, especially the blue fish. Lastly, the worse thing about Finding Nemo is that so many people talk like it was the best kids movie ever made. Because of this i was expecting another entertaining, fun, and enjoyable kids movie, but instead i wasted an hour and a half of my life.",negative
68,"After the over-the-top praise this movie received, I was surprised to find it to be an pretty unremarkable movie, and one that's not especially imaginative/visual. It is uncomplicated by any element not approved by committee, which means you get regurgitated under-sea relationships, with slightly modernized shtick. (Yep, there's a shark chase, but he's in recovery ?!) Take any three familiar mass market plot lines and average them together and you get something as tepid as this. This movie was gone from my mind the second it ended. I don't recall a frame of it.The only way you could be a fan of this movie is if you think a movie is supposed to spell everything out for you and cause you to emote every twenty minutes. It never touched me and it never engaged me. Nobody ever went broke tossing look-alike projects at undiscerning American audiences.",negative
69,"Toy Story again, but with fishes.1 idea, 2 movies..... I'm getting really sick of this - GO TAKE A CREATIVE WRITING CLASS, YOU IDIOTS!Yes, but some truly *amazing* visuals, as always - there must be *something* there to make you part with your hard-earned. (and some parts of that something, for some reason, look very much like a screensaver common in Win98 days that I saw here and there... ??!!!! Maybe Pixar look for their inspiration in more mundane (and obvious!) places than I thought?.... :) )Enjoy on TV, friends places and the like. DON'T PART, etc., etc.,....",negative
70,"Talk about two of the most irritating characters Pixar has ever created. The overbearing mother Ming and her overly dramatic daughter Mei, made this film extremely difficult to watch. Both characters were beyond insufferable! Pixar is completely losing its touch! This is the 3rd film in a row they make, that I would not want to watch more than once.",negative
71,"As a Chinese American I have to say that I'm very disappointed by this movie. Seriously what is the movie trying to teach the kids? To be youself and don't listen to your parnets at the age of 13? Or to sneak out of the house at the middle of the night? Or go to a not child appropriate concert without parents permission? The main characters are teens, they are at the very age that can be easily misled by these wrong messages. This is the most irresponsible movie that Pixar has made.",negative
72,"This film has a decent premise. But the plot and characters feel very cliche and boring, with the main theme being a good message but poorly portrayed.The art style is HORRIBLE. The character models look like some cheap bowling alley screen display characters.This film lacks Disney Pixars magic. What happened to the creativity of Monsters Inc, Up, Coco?",negative
73,"As a parent of 4. This movie is not for kids especially under the age of 8. It teaches you that it's ok to go behind your parents back and do things you shouldn't be doing. Teaches you betrayal. Teaches you that your friends are more important then family. Teaches you it's ok to lie. Teaches you it's ok to hide secrets from your parents. Teaches you arrogance, it's ok to do whatever you want as a teenager. Lack of discipline, it's ok to be mad and be someone your not suppose to be to fit it. This movie is horrible. Disney what are you doing?!?!?",negative
74,Straight out the gate this movie not appropriate for all ages and those involved should be ashamed for not giving prior warnings to parents. I have no idea what movie those scoring this highly were watching but it's certainly not the movie I watched.The main character is extremely arrogant and just not relatable or likeable and the mother is so far beyond controlling that she's a borderline psychopath and of course the father is just some overweight dude there for appearances.I've no idea what message this sends to kids but it's not that puberty is natural and part of life but that it's a bizarre rollercoaster and you can pretty much do anything you want when experiencing it.,negative
75,"I'm a 22 year old female who desires to become a teacher and was disappointed, to say the least, in the message behind this film. Embracing your emotions are important but if your emotions leads you to lie to your parents, listen to your bad influential friends, and care more about the lastest music than caring for other people, then you need to learn not to give into those emotions. It's so sad today to see kids having no respect for their teachers and/or adults who care deeply for them because they've been fed these message that they're allowed to do whatever they want without thinking of the consequences and the effect it has on other people and theirselves later on in life, and wondering when did things starting to go out of hand.""My panda, my choice"" was the response she told her mom when her mom told her that her appearance was inappropriate. It seems innocent but guys, I'm begging you to look at the deeper message. Be careful what you allow your children to watch.",negative
76,The beginning of the movie is a beautiful and cute description of life as a preteen. But just around the halfway mark the storytelling basically stops and there's nothing but hammer-blow-subtle messaging. If you agree with the message you may not dislike it as much but even you will have to concede the sloppy storytelling and dramatic shift in tone.,negative
77,"Ok I get I'm not the target audience for this film. That being said I wasn't the target audience for Inside Out or Dora the explorer and I loved those films. Why? Because they were well made with a story and characters and a plot and you know... film stuff. This is just bad. Bad animation, bad voice acting, cringe worthy ""characters"" a plot that isn't and gahhhhhhh I just can't go on. Seriously, no one should be made to sit through this tripe. Pixar what have you become?",negative
78,"This is a far cry from the Pixar we've grown to love over the years! Disrespect for adults, lying, crude behavior, my kids didn't even laugh! It was detached from reality - no redeeming message and disappointing.",negative
79,"Everything about this film can be described in one word: cringe. None of the jokes were funny (they were trying way to hard to be relatable to ""fellow kids). The worst part was the animation though. All the characters are so lazily animated and just plain ugly. It looks like something you would see on cartoon network (and I don't mean that in a good way). I was seriously cringing the whole way through the movie. If I hadn't been watching with someone, I probably would have turned it off after the first ten minutes. Actually, on second thought, I wouldn't have watched it at all.",negative
80,"I wasn't a fan of this film at all. Pixar has had some incredible productions throughout its tenure, but could we be witnessing in real time, the decline on the once great film studio?Don't get me wrong, the animation is good and I'm sure this will turn a profit for them. However, the last couple of films (including this one) that they've released have been a bit of a yawn for me.I'm also not sure I liked the message that it was trying to send, or what I perceived as the message anyway.I liked the inclusivity and yes we need more monitory stories to be told, but overall I wasn't a fan of this.",negative
81,"This. Just. Sucked. What was the purpose of this? There had to be committees deciding which Pixar movies get made, right, so what group of people sitting around a table thought this was a great Disney/Pixar film? Girls won't like this just because you think you're being relatable by shoving the things girls *don't* want to discuss with strangers, or even family, right on screen where they have to all sit together and pretend it's not uncomfortable. May some people say ""aww, you just have hang-ups""? Maybe, but that's a minority and if they want to make a movie for a small minority - say those that like to host a dinner party and sit down to talk about menstruation and hot dreams, go for it. Otherwise, hopefully lesson learned and they can do better next time.",negative
82,"Well Congrats guys, Disney somehow found a way to ruin Pixar too. I mean what was that? I'm really disappointed to see such a repetitive and overused plot again and again. The new concepts that company is inforcing to its newer movies, seem just too much. And the characters as much as the creators might think, are not funny or cute.Also, is this an accurate image of the new age? I mean if it is, then ...",negative
83,Not a comedy. Really just preachy. Kind of want my two hours back. My kids didn't really like it either. Age ten and twelve. If you're looking for a fun Disney movie this isn't it.,negative
84,How is this movie being praised? They'll try to get your kids any way they can these days. Disney just keeps getting worse.they make parents out to be terrible. Encourage sneaking out and lying. Basically wanting to cut off any connection between kids and their parents.,negative
85,"This movie has a few funny moments and I wanted to like this movie BUT .... It's not for children. This movie literally glorifies disobeying your parents so you can be your true self. Worst family values I've seen in a kids movie. There's also weird out of place comments that shouldn't be in a kids movie. Like the main characters 'sexy drawings' she does in her notebook. If you have young kids, skip this Disney movie for sure.",negative
86,"Two minutes into the movie & i hated the lead girl & her friends already. They are the definition of typical 13-year old brats who think it is somehow cool to disobey your parents cos' they think they are ""brainwashed"" by the society.What was the message here exactly?? To show the parents or family in a bad light who care the most about you?! Or to fantasize about boys being mermaids?! Or is it to use your powers to make some money for a concert?! I don't know & i surely don't think that it is to embrace who you truly are! And why do this woke Disney thinks that every 13 year old girl acts & thinks like that?! I have a 13 year old sister & thank god she do not acts like any of those brats & guess what she DID NOT liked the movie either.Tell me Disney if I agree with her mom (for the most part until they intentionally tried to show that she's a big evil monster!) does that make me look bad or am I not included in your woke people's list? Lmao.. Never felt more annoyed after watching a kids movie. Just wake up ""woke"" disney & stop brainwashing kids by making them watch your woke trash.Note to myself: Be aware at what your kid watches in the name of animation from now on.Easily skippable (as it also does not have a proper plot & is predictable too). DO NOT recommended watching, especially with your kids.Rating - 1/10.",negative
87,"If you copy Teen Wolf, 1985 starring Michael J. Fox and paste it into Pixar in 21st century, you get Turning Red. This animation signifies that Pixar is no longer a creative powerhouse.",negative
88,"This film is just strange from the off! Who is it aimed at? There are themes and plot lines which are meant for much older children/teens. The section which references her first period is just so strange! When you think of Pixar, you don't imagine a young girl fantasizing about boy bands with an overbearing mother who wants to help with period problems!! Weird!!",negative
89,There were a few laughs but I honestly found it to be bleh and cringey. Pixar has dropped the ball and the my body my choice reference is shameful for a child's movie.,negative
90,"I came in with low expectations after seeing the obnoxious trailers. The movie itself was even worse than the trailers made it look. There was nothing wholesome, just a fast paced collage of try-hard humor that over did it to the point that nothing was funny. The soundtrack was awful as well. Obnoxious is the best one word description. I couldn't even finish and I wish I could get the time I wasted back.",negative
91,"Expectations are high when a new Pixar movie is released... and this fails to get snywhere near them. The level of craft, care and attention to detail just isn't there. The story, script and characters are heavy handed, cliched and trite - trying too hard to be meaningful and failing miserably. Most disappointing though was the animation. The modelling and movement of the characters was basic at best and the style elements were weak. As a movie, especially a Pixar one, it's just not up to standard and I'm wondering if straight to Disney+ is the new straight to DVD.",negative
92,The victory of banal pop teen culture over the wisdom of traditional Asian culture. It's the tired Disney formula of a child finding enlightenment through rebellion which ends up somehow bringing the protagonist closer to her family in the end. The animation is beautiful as always. Story sucks. Get some imagination Disney! It's supposed to be what you're good at...,negative
93,"Main character is rewarded for being totally disrespectful and selfish, lying, sneaking, and disobeying. I suppose the writers and Disney/Pixar were cool with that though, because she's living ""her truth"".Terrible movie. Completely inappropriate for kids under 13.",negative
94,"This movie should have a warning and age restriction it is inappropriate and uncomfortable to watch. An extremely annoying teen that gets her period, loves her friends more than her parents and draws inappropriate pictures in her journal under her bed and is boy crazy! When the teen becomes a panda (metaphor for period) she turns angry and needs to be controlled... so they are saying women are crazy and super emotional when red. The elder women teach her about how to control the ""Red Panda"" at the end realizing that all her ancestors of the past had this same experience but one day the panda goes away, the mom walks inside a hole that basically says goodbye to her menstruation forever. OMG such a terrible movie that I wouldn't recommend... NOT 4 KIDS!",negative
95,"What the hell was this trash? 2nd movie in my 38 years of life that I couldn't bring myself to finish... a little more than half through and had to cut my losses. Horrible voice acting, poor sense of humor, not age appropriate at times, storyline completely blows. Both my kids lost interest. Go woke go broke. Disney is pushing their luck.",negative
96,"If someone falls in the selected audience they might enjoy this. The problem is I don't know what audience that is. It wasn't me. The animation is good but the style is a bit off, the characters are annoying, and the extra flares to some of the scenes are weird.",negative
97,I usually watch animated movies before showing them to my kids. I skipped the vetting because Disney/Pixar. That was a mistake. Next thing I know I'm forced to have a strange forced period talk with my eight year old daughter. It was not the time or the place for that conversation. Sex education is crucial but I don't want it forced into cartoons meant for small kids. Let parents parent. Let kids be kids.,negative
98,"Was looking forward to watching this with my 5 year old since it was a Pixar movie. 15 minutes in they're drooling over boys and calling boys sexy. The main characters mother finds some drawings that her daughter drew of a boy and called them ""sexy pictures"" and ""did this boy do that to you?!"" Really Pixar? Slap a PG13 on the rating so we don't show our little kids this movie. Smh.",negative
99,"I love Pixar. But I hated this movie. First of all, there is some not so subtle references to a young girl starting her period, talking about cramps and pads. I would HATE to have to answer all the questions from my young boys about what in the world the mother is talking about. I would also hate to tell my daughter about this life fact because it was introduced to her, too young, in this movie.Also, and more importantly, Mei-Mei is a horrible example. Encouraging kids to disobey and lie to parents because they won't understand them. Encouraging kids to do this is dangerous, and that is not an exaggeration.I don't have the desire to continue on how much I hated this. The movie was trash. Will never let my kids watch this.",negative
100,"I love cartoons and animated films. The movie's description led me to believe it was going to be an interesting movie, but I found the characters to be quite obnoxious. Some of the scenes they show is not something I would recommend for young kids.I'm disappointed with this generation and what kids are being shown. Pixar has many good movies, but this one isn't it. The fact that this movie has gained popularity makes me even more worried. Kids and teens deserve movies that are creative, inspiring, and fun.",negative
101,Pixar what the heck have you done....this movie should be shown in a health class in like 6th grade what the heck is this...there is nothing redeemable about this movie it's hard to understand the message is it puberty is it terrible relationships with parents idk what the heck it is all I know is it touches on periods...such a strange concept.,negative
102,The obnoxious way over the top antics of the girls was just sooooo bad. The movie lost me immediately and that's very rare for me. No subtle introductions just in your face attitude and ridiculous antics. Pixar can do so much better. I guess there's a reason this was released straight to streaming because it would be a box office BOMB.,negative
103,"The panda is cute, the story aint.Storywise it's like michael j fox teen wolf, also this animation is more chic movie telling bout teenage girl growing up etc.So kids probably can't relate much, the one they like in the movie is panda and cute kittens, that's it.It just fell flat & forgettable.",negative
